ID,Name,Platform,Channel ID,Followers,Engagement Proxy (%),Engagement Type,Average Views,Average Likes,Average Comments,Niche,Niche Confidence,Content Theme,Email,Email Source,Profile URL,Website,Audience Age,Audience Gender,Audience Geography,Brand Fit Score,Follower Fit Score,Tech Relevance Score,Content Relevance Score,Engagement Score,Geo Score,Status,Filter Reasons,Created At
1,Avinash Agarwal Comedy,YouTube,UC-rEcWC7aWYGfNIJ9m0v34A,81600,4.75,public_video_proxy,90964.4,3807.2,67.0,Technology,0.35,"Technology Overview, Coding & Development",Not Found,not_found,https://www.youtube.com/@avinashagarwalcomedy,@avinashagarwalcomedy,Not Available,Not Available,IN,78.8,20.0,8.8,20.0,20.0,10.0,QUALIFIED,Low technology relevance confidence (0.35) for category 'Technology',2026-08-24T09:35:06.748506
2,Gajendra Puri Comedy,YouTube,UCGOod7J7r1KlYxakknN4gtg,7920,4.24,public_video_proxy,27740.2,327.0,8.8,Technology,0.35,"Technology Overview, Coding & Development",Not Found,not_found,https://www.youtube.com/@gajendrapuriii,@gajendrapuriii,Not Available,Not Available,IN,78.8,20.0,8.8,20.0,20.0,10.0,QUALIFIED,Low technology relevance confidence (0.35) for category 'Technology',2026-08-24T09:35:06.748512
3,suraj comedy up 36,YouTube,UCus6J7d0gi2CRneXN4pzgpQ,96800,0.03,public_video_proxy,1104.8,29.4,3.6,Technology,0.35,"Technology Overview, Coding & Development",Not Found,not_found,https://www.youtube.com/@surajcomedyup36,@surajcomedyup36,Not Available,Not Available,IN,64.8,20.0,8.8,20.0,6.0,10.0,REVIEW,Low technology relevance confidence (0.35) for category 'Technology' | Borderline score (64.8/100) requires manual review,2026-08-24T09:35:06.748514
4,British Comedy Guide,YouTube,UCf7J0vxbg6SsIjY9587PEiQ,47500,0.03,public_video_proxy,1214.0,10.0,2.2,Technology,0.35,"Technology Overview, Coding & Development",Not Found,not_found,https://www.youtube.com/@britishcomedyguide,@britishcomedyguide,Not Available,Not Available,GB,69.8,25.0,8.8,20.0,6.0,10.0,REVIEW,Low technology relevance confidence (0.35) for category 'Technology' | Borderline score (69.8/100) requires manual review,2026-08-24T09:35:06.748515
5,Engineer Comedy,YouTube,UCRJFsjlz1gQ1p5fla04AjTg,41600,0.02,public_video_proxy,255.2,8.8,0.2,Technology,0.35,"Technology Overview, Coding & Development",Not Found,not_found,https://www.youtube.com/@engineercomedy99,@engineercomedy99,Not Available,Not Available,IQ,66.8,25.0,8.8,20.0,6.0,7.0,REVIEW,Low technology relevance confidence (0.35) for category 'Technology' | Borderline score (66.8/100) requires manual review,2026-08-24T09:35:06.748515
6,Anu Vaidyanathan - Comedian | Filmmaker | Engineer,YouTube,UCTJgdlDab4lCufRVGOvKabQ,80800,0.0,public_video_proxy,191.2,1.2,0.0,Technology,0.35,"Technology Overview, Coding & Development",Not Found,not_found,https://www.youtube.com/@anu.vaidyanathan,@anu.vaidyanathan,Not Available,Not Available,GB,60.8,20.0,8.8,20.0,2.0,10.0,REVIEW,Low technology relevance confidence (0.35) for category 'Technology' | Borderline score (60.8/100) requires manual review,2026-08-24T09:35:06.748516
7,Rahul Subramanian,YouTube,UCvgMH5bd8JU_3KZ0BnBL4Vg,100000,1.62,public_video_proxy,61382.0,1591.8,23.6,Technology,0.35,"Technology Overview, Coding & Development",Not Found,not_found,https://www.youtube.com/@rahulsubramanian,@rahulsubramanian,Not Available,Not Available,Not Available,69.8,20.0,8.8,20.0,16.0,5.0,REVIEW,Low technology relevance confidence (0.35) for category 'Technology' | Borderline score (69.8/100) requires manual review,2026-08-24T09:35:06.748517
8,chinki chintu comedy,YouTube,UCwaoeMmYb_9edbWmeIdRj2w,81900,0.02,public_video_proxy,3749.0,15.2,2.8,Technology,0.35,"Technology Overview, Coding & Development",Not Found,not_found,https://www.youtube.com/@chinkichintu_comedy,@chinkichintu_comedy,Not Available,Not Available,IN,64.8,20.0,8.8,20.0,6.0,10.0,REVIEW,Low technology relevance confidence (0.35) for category 'Technology' | Borderline score (64.8/100) requires manual review,2026-08-24T09:35:06.748518
9,MK COMEDY RAMNAGAR,YouTube,UCvWjrzC9tT71ztKWBAejhhg,67500,0.07,public_video_proxy,2600.4,45.0,0.4,Technology,0.35,"Technology Overview, Coding & Development",Not Found,not_found,https://www.youtube.com/@mkcomedyramnagar,@mkcomedyramnagar,Not Available,Not Available,IN,64.8,20.0,8.8,20.0,6.0,10.0,REVIEW,Low technology relevance confidence (0.35) for category 'Technology' | Borderline score (64.8/100) requires manual review,2026-08-24T09:35:06.748519
10,Tushar Comedy Corner,YouTube,UCmRm7-KwT0D2AWr77Yy-Ukw,6760,0.25,public_video_proxy,961.4,16.2,0.4,Technology,0.35,"Technology Overview, Coding & Development",Not Found,not_found,https://www.youtube.com/@creator_tushar_90,@creator_tushar_90,Not Available,Not Available,IN,64.8,20.0,8.8,20.0,6.0,10.0,REVIEW,Low technology relevance confidence (0.35) for category 'Technology' | Borderline score (64.8/100) requires manual review,2026-08-24T09:35:06.748520
